size, comparison
1,1
2,1
3,1
4,2
5,3
6,1
7,2
8,2
9,3
10,6
11,3
12,5
13,7
14,2
15,3
16,2
17,3
18,8
19,3
20,4
21,7
22,4
23,5
24,4
25,3
26,5
27,8
28,2
29,5
30,4
31,6
32,4
33,3
34,3
35,4
36,7
37,6
38,3
39,7
40,4
41,6
42,7
43,6
44,4
45,3
46,5
47,7
48,4
49,2
50,6
51,5
52,5
53,9
54,8
55,3
56,2
57,6
58,5
59,8
60,4
61,5
62,6
63,7
64,4
65,6
66,7
67,7
68,7
69,5
70,8
71,6
72,9
73,6
74,6
75,3
76,6
77,8
78,6
79,10
80,4
81,6
82,6
83,11
84,7
85,7
86,6
87,7
88,8
89,4
90,6
91,7
92,12
93,6
94,7
95,4
96,4
97,6
98,2
99,3
100,11
101,7
102,9
103,8
104,7
105,11
106,9
107,6
108,9
109,10
110,8
111,7
112,2
113,8
114,6
115,13
116,5
117,6
118,8
119,9
120,4
121,10
122,11
123,10
124,9
125,3
126,7
127,11
128,4
129,12
130,6
131,6
132,12
133,4
134,7
135,11
136,4
137,9
138,12
139,4
140,8
141,12
142,11
143,13
144,9
145,9
146,6
147,7
148,6
149,10
150,11
151,8
152,6
153,5
154,8
155,6
156,8
157,7
158,7
159,9
160,4
161,5
162,4
163,8
164,6
165,3
166,8
167,7
168,12
169,13
170,7
171,9
172,12
173,13
174,9
175,12
176,6
177,8
178,4
179,9
180,9
181,5
182,10
183,5
184,12
185,7
186,12
187,8
188,7
189,11
190,12
191,8
192,4
193,9
194,6
195,6
196,2
197,10
198,12
199,9
200,14
201,7
202,7
203,7
204,9
205,10
206,10
207,5
208,14
209,10
210,10
211,11
212,14
213,6
214,6
215,6
216,9
217,11
218,6
219,7
220,8
221,12
222,9
223,11
224,12
225,3
226,8
227,8
228,6
229,10
230,8
231,7
232,9
233,8
234,6
235,7
236,8
237,10
238,9
239,6
240,4
241,4
242,10
243,6
244,10
245,10
246,10
247,6
248,13
249,8
250,12
251,5
252,7
253,13
254,13
255,9
256,4
257,9
258,12
259,10
260,14
261,9
262,6
263,12
264,13
265,14
266,9
267,4
268,10
269,11
270,8
271,8
272,12
273,7
274,8
275,3
276,12
277,8
278,7
279,6
280,8
281,15
282,12
283,11
284,13
285,7
286,13
287,7
288,10
289,12
290,9
291,8
292,7
293,9
294,10
295,8
296,6
297,8
298,10
299,13
300,11
301,12
302,8
303,7
304,13
305,11
306,9
307,4
308,8
309,10
310,6
311,12
312,13
313,11
314,14
315,11
316,7
317,9
318,9
319,10
320,4
321,7
322,5
323,3
324,13
325,14
326,14
327,13
328,6
329,9
330,9
331,7
332,8
333,9
334,6
335,10
336,12
337,6
338,13
339,11
340,7
341,13
342,9
343,10
344,12
345,8
346,13
347,16
348,9
349,8
350,12
351,13
352,6
353,8
354,12
355,9
356,4
357,9
358,13
359,10
360,9
361,6
362,5
363,8
364,13
365,6
366,10
367,12
368,13
369,13
370,9
371,9
372,12
373,10
374,15
375,3
376,9
377,5
378,13
379,4
380,12
381,8
382,8
383,13
384,4
385,8
386,7
387,12
388,16
389,11
390,6
391,5
392,2
393,13
394,12
395,11
396,12
397,11
398,9
399,9
400,14
401,13
402,7
403,13
404,7
405,8
406,10
407,13
408,15
409,11
410,10
411,8
412,12
413,8
414,8
415,9
416,14
417,4
418,10
419,10
420,10
421,12
422,12
423,9
424,14
425,15
426,13
427,7
428,12
429,16
430,6
431,13
432,9
433,14
434,11
435,9
436,6
437,8
438,7
439,11
440,8
441,6
442,13
443,11
444,9
445,4
446,8
447,10
448,12
449,7
450,8
451,7
452,8
453,13
454,11
455,17
456,6
457,7
458,14
459,9
460,15
461,8
462,9
463,10
464,12
465,12
466,12
467,13
468,13
469,15
470,7
471,7
472,8
473,8
474,14
475,15
476,12
477,9
478,6
479,6
480,4
481,10
482,10
483,9
484,13
485,6
486,13
487,9
488,10
489,8
490,10
491,7
492,13
493,9
494,16
495,3
496,13
497,13
498,8
499,8
500,15
501,7
502,5
503,14
504,13
505,9
506,9
507,13
508,10
509,17
510,15
511,17
512,13
513,10
514,14
515,18
516,12
517,11
518,10
519,10
520,14
521,12
522,9
523,7
524,11
525,10
526,11
527,9
528,10
529,14
530,14
531,12
532,9
533,17
534,4
535,6
536,14
537,9
538,11
539,14
540,10
541,10
542,14
543,7
544,12
545,13
546,13
547,7
548,17
549,10
550,8
551,10
552,12
553,11
554,16
555,7
556,7
557,11
558,12
559,10
560,12
561,18
562,15
563,14
564,8
565,8
566,9
567,13
568,13
569,14
570,10
571,4
572,11
573,13
574,10
575,8
576,10
577,12
578,9
579,9
580,9
581,11
582,12
583,14
584,7
585,6
586,9
587,6
588,10
589,13
590,8
591,12
592,13
593,3
594,10
595,11
596,10
597,7
598,13
599,15
600,15
601,11
