size, comparison
1,1
2,2
3,3
4,2
5,2
6,6
7,5
8,6
9,6
10,2
11,8
12,6
13,4
14,12
15,12
16,14
17,13
18,6
19,15
20,2
21,12
22,8
23,2
24,6
25,22
26,4
27,15
28,26
29,7
30,12
31,23
32,14
33,30
34,30
35,12
36,6
37,11
38,34
39,30
40,22
41,15
42,12
43,15
44,30
45,42
46,2
47,9
48,30
49,47
50,22
51,30
52,30
53,34
54,42
55,52
56,54
57,15
58,36
59,1
60,42
61,34
62,54
63,33
64,46
65,17
66,30
67,43
68,30
69,48
70,12
71,2
72,6
73,65
74,48
75,72
76,34
77,19
78,30
79,4
80,62
81,42
82,56
83,4
84,54
85,47
86,58
87,36
88,30
89,71
90,42
91,82
92,2
93,54
94,56
95,72
96,78
97,89
98,96
99,96
100,22
101,71
102,30
103,2
104,30
105,12
106,34
107,79
108,42
109,72
110,52
111,48
112,110
113,61
114,72
115,2
116,94
117,69
118,60
119,47
120,102
121,41
122,34
123,15
124,54
125,122
126,96
127,18
128,110
129,15
130,82
131,91
132,30
133,110
134,110
135,42
136,30
137,46
138,48
139,124
140,82
141,9
142,2
143,30
144,78
145,7
146,138
147,96
148,122
149,55
150,72
151,99
152,110
153,132
154,96
155,147
156,30
157,22
158,4
159,87
160,142
161,117
162,42
163,34
164,138
165,162
166,4
167,158
168,54
169,56
170,132
171,15
172,58
173,43
174,36
175,47
176,30
177,60
178,160
179,122
180,42
181,149
182,82
183,156
184,94
185,122
186,54
187,30
188,150
189,96
190,72
191,55
192,174
193,136
194,186
195,147
196,194
197,76
198,96
199,131
200,22
201,177
202,172
203,152
204,30
205,97
206,2
207,186
208,30
209,129
210,12
211,16
212,34
213,144
214,186
215,187
216,150
217,54
218,72
219,138
220,162
221,30
222,48
223,60
224,110
225,222
226,174
227,174
228,186
229,154
230,2
231,96
232,94
233,96
234,186
235,197
236,178
237,162
238,166
239,191
240,222
241,228
242,162
243,204
244,34
245,47
246,138
247,186
248,54
249,87
250,122
251,231
252,222
253,140
254,18
255,132
256,238
257,76
258,144
259,159
260,82
261,123
262,222
263,44
264,30
265,87
266,110
267,249
268,110
269,90
270,42
271,78
272,30
273,264
274,46
275,272
276,186
277,120
278,124
279,240
280,222
281,93
282,150
283,120
284,2
285,72
286,30
287,138
288,78
289,98
290,152
291,186
292,138
293,231
294,96
295,237
296,270
297,96
298,204
299,186
300,222
301,187
302,250
303,273
304,110
305,217
306,132
307,302
308,250
309,105
310,302
311,32
312,30
313,96
314,22
315,222
316,162
317,247
318,246
319,239
320,302
321,186
322,278
323,319
324,42
325,147
326,34
327,72
328,302
329,103
330,162
331,177
332,170
333,159
334,158
335,177
336,222
337,295
338,56
339,174
340,302
341,85
342,186
343,243
344,230
345,117
346,216
347,145
348,210
349,19
350,222
351,69
352,206
353,224
354,60
355,2
356,338
357,285
358,122
359,128
360,222
361,319
362,330
363,162
364,82
365,357
366,156
367,104
368,94
369,15
370,122
371,299
372,54
373,6
374,30
375,372
376,150
377,355
378,96
379,365
380,262
381,18
382,246
383,31
384,366
385,327
386,136
387,15
388,186
389,93
390,342
391,370
392,390
393,222
394,76
395,162
396,294
397,282
398,330
399,243
400,222
401,67
402,378
403,147
404,374
405,42
406,152
407,85
408,30
409,176
410,302
411,183
412,2
413,355
414,186
415,87
416,238
417,402
418,338
419,220
420,222
421,97
422,16
423,150
424,246
425,47
426,144
427,278
428,186
429,30
430,402
431,174
432,366
433,274
434,54
435,297
436,290
437,186
438,138
439,299
440,382
441,96
442,30
443,334
444,270
445,427
446,60
447,204
448,110
449,368
450,222
451,261
452,174
453,99
454,174
455,82
456,414
457,394
458,154
459,285
460,2
461,356
462,96
463,274
464,94
465,147
466,96
467,67
468,186
469,110
470,432
471,336
472,414
473,316
474,162
475,72
476,166
477,87
478,430
479,357
480,462
481,381
482,228
483,117
484,162
485,477
486,204
487,425
488,278
489,360
490,292
491,182
492,138
493,268
494,186
495,492
496,302
497,215
498,336
499,271
500,122
501,492
502,482
503,191
504,222
505,172
506,140
507,225
508,18
509,124
510,132
511,138
512,238
513,15
514,76
515,2
516,402
517,338
518,418
519,216
520,342
521,368
522,384
523,480
524,222
525,222
526,44
527,302
528,30
529,370
530,352
531,60
532,110
533,56
534,516
535,507
536,110
537,480
538,90
539,96
540,42
541,9
542,78
543,330
544,302
545,72
546,264
547,412
548,46
549,339
550,272
551,471
552,462
553,320
554,120
555,492
556,402
557,479
558,240
559,316
560,222
561,30
562,374
563,203
564,150
